ID;Tipo;SKU;Nome;Publicado;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (kg);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Nome do atributo 3;Valores do atributo 3;Visibilidade do atributo 3;Atributo global 3
5521;variable;10128;Bermuda Casual;-1;Bermuda larguinha com fechamento  frontal de ziper e gancho,  bolso faca frontal e bolso trazeiro alfaitaria, barra italiana.;1;;;0;0;428;32;21;12;0;299,99;Bermuda, Bermuda > Bermuda Curta;;Cor;LILAS, PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano;1;0
5535;variation;10128-L-G;Bermuda Casual - LILAS, G;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;LILAS;;1;Tamanho;G;;1;;;;
5534;variation;10128-L-M;Bermuda Casual - LILAS, M;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;LILAS;;1;Tamanho;M;;1;;;;
5533;variation;10128-L-P;Bermuda Casual - LILAS, P;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;LILAS;;1;Tamanho;P;;1;;;;
5532;variation;10128-L-PP;Bermuda Casual - LILAS, PP;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;LILAS;;1;Tamanho;PP;;1;;;;
5539;variation;10128-P-G;Bermuda Casual - PRETO, G;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;PRETO;;1;Tamanho;G;;1;;;;
5538;variation;10128-P-M;Bermuda Casual - PRETO, M;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;PRETO;;1;Tamanho;M;;1;;;;
5537;variation;10128-P-P;Bermuda Casual - PRETO, P;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;PRETO;;1;Tamanho;P;;1;;;;
5536;variation;10128-P-PP;Bermuda Casual - PRETO, PP;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5543;variation;10128-V-G;Bermuda Casual - VERDE, G;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;VERDE;;1;Tamanho;G;;1;;;;
5542;variation;10128-V-M;Bermuda Casual - VERDE, M;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;VERDE;;1;Tamanho;M;;1;;;;
5541;variation;10128-V-P;Bermuda Casual - VERDE, P;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;VERDE;;1;Tamanho;P;;1;;;;
5540;variation;10128-V-PP;Bermuda Casual - VERDE, PP;-1;;1;1;;0;0;;;;;0;299,99;;10128;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5544;variable;10127;Blazer Casual;-1;Blazer curtinho de manga longa, com forro de cetim, fechamento frontal com gancho.;1;;;0;0;517;32;21;12;0;489,99;Blazer, Blazer > Blazer Manga Longa;;Cor;PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano          Forro: 96% Poliéster 4% Elastano;1;0
5559;variation;10127-P-G;Blazer Casual - PRETO, G;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;PRETO;;1;Tamanho;G;;1;;;;
5558;variation;10127-P-M;Blazer Casual - PRETO, M;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;PRETO;;1;Tamanho;M;;1;;;;
5557;variation;10127-P-P;Blazer Casual - PRETO, P;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;PRETO;;1;Tamanho;P;;1;;;;
5556;variation;10127-P-PP;Blazer Casual - PRETO, PP;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5563;variation;10127-V-G;Blazer Casual - VERDE, G;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;VERDE;;1;Tamanho;G;;1;;;;
5562;variation;10127-V-M;Blazer Casual - VERDE, M;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;VERDE;;1;Tamanho;M;;1;;;;
5561;variation;10127-V-P;Blazer Casual - VERDE, P;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;VERDE;;1;Tamanho;P;;1;;;;
5560;variation;10127-V-PP;Blazer Casual - VERDE, PP;-1;;1;1;;0;0;;;;;0;489,99;;10127;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5236;variable;10141;Blusa Livia;-1;Blusa de alcinha com duas camadas de tecido, alcinha com regulador de metal dourado, detalhe do decote em tecido acetinado.;1;;;0;0;208;32;21;12;0;199,99;Blusa, Blusa > Blusa de Alcinha;;Cor;PRETO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido 1: 100% Poliéster.          Tecido 2: 100% Poliéster;1;0
5251;variation;10141-P-G;Blusa Lívia - PRETO, G;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;PRETO;;1;Tamanho;G;;1;;;;
5252;variation;10141-P-GG;Blusa Lívia - PRETO, GG;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;PRETO;;1;Tamanho;GG;;1;;;;
5250;variation;10141-P-M;Blusa Lívia - PRETO, M;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;PRETO;;1;Tamanho;M;;1;;;;
5249;variation;10141-P-P;Blusa Lívia - PRETO, P;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;PRETO;;1;Tamanho;P;;1;;;;
5248;variation;10141-P-PP;Blusa Lívia - PRETO, PP;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5256;variation;10141-R-G;Blusa Lívia - ROSA, G;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;ROSA;;1;Tamanho;G;;1;;;;
5257;variation;10141-R-GG;Blusa Lívia - ROSA, GG;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5255;variation;10141-R-M;Blusa Lívia - ROSA, M;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;ROSA;;1;Tamanho;M;;1;;;;
5254;variation;10141-R-P;Blusa Lívia - ROSA, P;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;ROSA;;1;Tamanho;P;;1;;;;
5253;variation;10141-R-PP;Blusa Lívia - ROSA, PP;-1;;1;1;;0;0;;;;;0;199,99;;10141;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5564;variable;10125;Calça Casual;-1;Calça longa slim com cós clochard, fechamento frontal  com zíper e gancho alfaiataria, abertura na barra com fechamento em botão.;1;;;0;0;415;32;21;12;0;359,99;Calça, Calça > Calça Slim;;Cor;LILAS, PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano ;1;0
5578;variation;10125-L-G;Calça Casual - LILAS, G;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;LILAS;;1;Tamanho;G;;1;;;;
5577;variation;10125-L-M;Calça Casual - LILAS, M;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;LILAS;;1;Tamanho;M;;1;;;;
5576;variation;10125-L-P;Calça Casual - LILAS, P;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;LILAS;;1;Tamanho;P;;1;;;;
5575;variation;10125-L-PP;Calça Casual - LILAS, PP;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;LILAS;;1;Tamanho;PP;;1;;;;
5582;variation;10125-P-G;Calça Casual - PRETO, G;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;PRETO;;1;Tamanho;G;;1;;;;
5581;variation;10125-P-M;Calça Casual - PRETO, M;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;PRETO;;1;Tamanho;M;;1;;;;
5580;variation;10125-P-P;Calça Casual - PRETO, P;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;PRETO;;1;Tamanho;P;;1;;;;
5579;variation;10125-P-PP;Calça Casual - PRETO, PP;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5586;variation;10125-V-G;Calça Casual - VERDE, G;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;VERDE;;1;Tamanho;G;;1;;;;
5585;variation;10125-V-M;Calça Casual - VERDE, M;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;VERDE;;1;Tamanho;M;;1;;;;
5584;variation;10125-V-P;Calça Casual - VERDE, P;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;VERDE;;1;Tamanho;P;;1;;;;
5583;variation;10125-V-PP;Calça Casual - VERDE, PP;-1;;1;1;;0;0;;;;;0;359,99;;10125;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5587;variable;10140;Casaqueto Camila;-1;Blazer curtinho de manga curta dobradinha, forrado com cetim, fechamento frontal com botão.;1;;;0;0;435;32;21;12;0;359,99;Blazer, Blazer > Blazer Curto;;Cor;PRETO, VERDE;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano          Forro: 96% Poliéster 4% Elastano;1;0
5601;variation;10140-P-G;Casaqueto Camila - PRETO, G;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;PRETO;;1;Tamanho;G;;1;;;;
5602;variation;10140-P-GG;Casaqueto Camila - PRETO, GG;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;PRETO;;1;Tamanho;GG;;1;;;;
5600;variation;10140-P-M;Casaqueto Camila - PRETO, M;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;PRETO;;1;Tamanho;M;;1;;;;
5599;variation;10140-P-P;Casaqueto Camila - PRETO, P;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;PRETO;;1;Tamanho;P;;1;;;;
5598;variation;10140-P-PP;Casaqueto Camila - PRETO, PP;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5606;variation;10140-V-G;Casaqueto Camila - VERDE, G;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;VERDE;;1;Tamanho;G;;1;;;;
5607;variation;10140-V-GG;Casaqueto Camila - VERDE, GG;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;VERDE;;1;Tamanho;GG;;1;;;;
5605;variation;10140-V-M;Casaqueto Camila - VERDE, M;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;VERDE;;1;Tamanho;M;;1;;;;
5604;variation;10140-V-P;Casaqueto Camila - VERDE, P;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;VERDE;;1;Tamanho;P;;1;;;;
5603;variation;10140-V-PP;Casaqueto Camila - VERDE, PP;-1;;1;1;;0;0;;;;;0;359,99;;10140;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5608;variable;10129;Macacão Casual;-1;Macacão longo de manga 3/4 com elástico no punho da manga e da barra, fechamento lateral com zíper invisível, bolso e vista falso no busto.;1;;;0;0;669;32;21;12;0;459,99;Macacão, Macacão > Macacão Longo;;Cor;MARROM, PRETO, VERDE;1;1;Tamanho;G, M, P, PP;1;1;Composição;Tecido: 96% Poliéster 4% Elastano;1;0
5622;variation;10129-M-G;Macacão Casual - MARROM, G;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;MARROM;;1;Tamanho;G;;1;;;;
5621;variation;10129-M-M;Macacão Casual - MARROM, M;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;MARROM;;1;Tamanho;M;;1;;;;
5620;variation;10129-M-P;Macacão Casual - MARROM, P;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;MARROM;;1;Tamanho;P;;1;;;;
5619;variation;10129-M-PP;Macacão Casual - MARROM, PP;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;MARROM;;1;Tamanho;PP;;1;;;;
5626;variation;10129-P-G;Macacão Casual - PRETO, G;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;PRETO;;1;Tamanho;G;;1;;;;
5625;variation;10129-P-M;Macacão Casual - PRETO, M;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;PRETO;;1;Tamanho;M;;1;;;;
5624;variation;10129-P-P;Macacão Casual - PRETO, P;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;PRETO;;1;Tamanho;P;;1;;;;
5623;variation;10129-P-PP;Macacão Casual - PRETO, PP;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5630;variation;10129-V-G;Macacão Casual - VERDE, G;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;VERDE;;1;Tamanho;G;;1;;;;
5629;variation;10129-V-M;Macacão Casual - VERDE, M;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;VERDE;;1;Tamanho;M;;1;;;;
5628;variation;10129-V-P;Macacão Casual - VERDE, P;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;VERDE;;1;Tamanho;P;;1;;;;
5627;variation;10129-V-PP;Macacão Casual - VERDE, PP;-1;;1;1;;0;0;;;;;0;459,99;;10129;Cor;VERDE;;1;Tamanho;PP;;1;;;;
5269;variable;10138;Saia Ana Laura;-1;Saia longa com recortes franzidos, fechamento frontal com botões.;1;;;0;0;644;32;21;12;0;419,99;Saia, Saia > Saia Longa;;Cor;LARANJA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 70% Viscose 30% Linho ;1;0
5283;variation;10138-L-G;Saia Ana Laura - LARANJA, G;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;LARANJA;;1;Tamanho;G;;1;;;;
5284;variation;10138-L-GG;Saia Ana Laura - LARANJA, GG;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
5282;variation;10138-L-M;Saia Ana Laura - LARANJA, M;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;LARANJA;;1;Tamanho;M;;1;;;;
5281;variation;10138-L-P;Saia Ana Laura - LARANJA, P;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;LARANJA;;1;Tamanho;P;;1;;;;
5280;variation;10138-L-PP;Saia Ana Laura - LARANJA, PP;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
5288;variation;10138-R-G;Saia Ana Laura - ROSA, G;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;ROSA;;1;Tamanho;G;;1;;;;
5289;variation;10138-R-GG;Saia Ana Laura - ROSA, GG;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5287;variation;10138-R-M;Saia Ana Laura - ROSA, M;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;ROSA;;1;Tamanho;M;;1;;;;
5286;variation;10138-R-P;Saia Ana Laura - ROSA, P;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;ROSA;;1;Tamanho;P;;1;;;;
5285;variation;10138-R-PP;Saia Ana Laura - ROSA, PP;-1;;1;1;;0;0;;;;;0;419,99;;10138;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5290;variable;10142;Saia Livia;-1;Saia longa com recortes intercalando dois tecidos, um é crepe leve e o outro acetinado.  Saia forrada com o tecido acetinado e fechamento trazeiro com zíper invisível.;1;;;0;0;485;32;21;12;0;459,99;Saia, Saia > Saia Longa;;Cor;PRETO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido 1: 100% Poliéster.          Tecido 2: 100% Poliéster;1;0
5314;variation;10142-P-G;Saia Lívia - PRETO, G;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;PRETO;;1;Tamanho;G;;1;;;;
5315;variation;10142-P-GG;Saia Lívia - PRETO, GG;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;PRETO;;1;Tamanho;GG;;1;;;;
5313;variation;10142-P-M;Saia Lívia - PRETO, M;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;PRETO;;1;Tamanho;M;;1;;;;
5312;variation;10142-P-P;Saia Lívia - PRETO, P;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;PRETO;;1;Tamanho;P;;1;;;;
5311;variation;10142-P-PP;Saia Lívia - PRETO, PP;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;PRETO;;1;Tamanho;PP;;1;;;;
5319;variation;10142-R-G;Saia Lívia - ROSA, G;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;ROSA;;1;Tamanho;G;;1;;;;
5320;variation;10142-R-GG;Saia Lívia - ROSA, GG;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5318;variation;10142-R-M;Saia Lívia - ROSA, M;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;ROSA;;1;Tamanho;M;;1;;;;
5317;variation;10142-R-P;Saia Lívia - ROSA, P;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;ROSA;;1;Tamanho;P;;1;;;;
5316;variation;10142-R-PP;Saia Lívia - ROSA, PP;-1;;1;1;;0;0;;;;;0;459,99;;10142;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5321;variable;115;Top Ana Laura;-1;Top curto de alcinha fina com regulador de metal dourado, detalhe do decote em V, fechamento traseiro com ziper de nylon destacável .;1;;;0;0;195;32;21;12;0;169,99;Blusa > Top, Blusa > Top > Top de Alcinha;;Cor;LARANJA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 70% Viscose 30% Linho ;1;0
5335;variation;0115-L-G;Top Ana Laura - LARANJA, G;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;LARANJA;;1;Tamanho;G;;1;;;;
5336;variation;0115-L-GG;Top Ana Laura - LARANJA, GG;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;LARANJA;;1;Tamanho;GG;;1;;;;
5334;variation;0115-L-M;Top Ana Laura - LARANJA, M;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;LARANJA;;1;Tamanho;M;;1;;;;
5333;variation;0115-L-P;Top Ana Laura - LARANJA, P;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;LARANJA;;1;Tamanho;P;;1;;;;
5332;variation;0115-L-PP;Top Ana Laura - LARANJA, PP;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;LARANJA;;1;Tamanho;PP;;1;;;;
5340;variation;0115-R-G;Top Ana Laura - ROSA, G;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;G;;1;;;;
5341;variation;0115-R-GG;Top Ana Laura - ROSA, GG;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5339;variation;0115-R-M;Top Ana Laura - ROSA, M;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;M;;1;;;;
5338;variation;0115-R-P;Top Ana Laura - ROSA, P;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;P;;1;;;;
5337;variation;0115-R-PP;Top Ana Laura - ROSA, PP;-1;;1;1;;0;0;;;;;0;169,99;;115;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5212;variable;10130;Vestido Natalia Curto;-1;Vestido curto de manga bufante com detalhe em renda aplicada na manga e na barra. acabamento da manga com elástico, fechamento trazeiro em zíper invisível, corpo forrado com o próprio tecido e forro até a coxa.;1;;;0;0;451;32;21;12;0;489,99;Vestido > Vestido Curto;;Cor;AZUL TURQUESA, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 55% Viscose 45% Poliéster;1;0
5228;variation;10130-AT-G;Vestido Natalia Curto - AZUL TURQUESA, G;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;G;;1;;;;
5229;variation;10130-AT-GG;Vestido Natalia Curto - AZUL TURQUESA, GG;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;GG;;1;;;;
5227;variation;10130-AT-M;Vestido Natalia Curto - AZUL TURQUESA, M;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;M;;1;;;;
5226;variation;10130-AT-P;Vestido Natalia Curto - AZUL TURQUESA, P;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;P;;1;;;;
5225;variation;10130-AT-PP;Vestido Natalia Curto - AZUL TURQUESA, PP;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;AZUL TURQUESA;;1;Tamanho;PP;;1;;;;
5233;variation;10130-R-G;Vestido Natalia Curto - ROSA, G;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;G;;1;;;;
5234;variation;10130-R-GG;Vestido Natalia Curto - ROSA, GG;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5232;variation;10130-R-M;Vestido Natalia Curto - ROSA, M;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;M;;1;;;;
5231;variation;10130-R-P;Vestido Natalia Curto - ROSA, P;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;P;;1;;;;
5230;variation;10130-R-PP;Vestido Natalia Curto - ROSA, PP;-1;;1;1;;0;0;;;;;0;489,99;;10130;Cor;ROSA;;1;Tamanho;PP;;1;;;;
5384;variable;10131;Vestido Natalia Mid;-1;Vestido mid de manga bufante com detalhe em renda aplicada na manga e na barra. acabamento da manga com elástico, fechamento trazeiro em zíper invisível, corpo forrado com o próprio tecido e forro até a coxa.;1;;;0;0;530;32;21;12;0;589,99;Vestido > Mid, Vestido;;Cor;AZUL MARINHO, ROSA;1;1;Tamanho;G, GG, M, P, PP;1;1;Composição;Tecido: 55% Viscose 45% Poliéster;1;0
5398;variation;10131-AM-G;Vestido Natalia Mid - AZUL MARINHO, G;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;G;;1;;;;
5399;variation;10131-AM-GG;Vestido Natalia Mid - AZUL MARINHO, GG;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;GG;;1;;;;
5397;variation;10131-AM-M;Vestido Natalia Mid - AZUL MARINHO, M;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;M;;1;;;;
5396;variation;10131-AM-P;Vestido Natalia Mid - AZUL MARINHO, P;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;P;;1;;;;
5395;variation;10131-AM-PP;Vestido Natalia Mid - AZUL MARINHO, PP;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;AZUL MARINHO;;1;Tamanho;PP;;1;;;;
5403;variation;10131-R-G;Vestido Natalia Mid - ROSA, G;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;G;;1;;;;
5404;variation;10131-R-GG;Vestido Natalia Mid - ROSA, GG;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;GG;;1;;;;
5402;variation;10131-R-M;Vestido Natalia Mid - ROSA, M;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;M;;1;;;;
5401;variation;10131-R-P;Vestido Natalia Mid - ROSA, P;-1;;1;1;;0;0;;;;;0;589,99;;10131;Cor;ROSA;;1;Tamanho;P;;1;;;;
