Tipo;SKU;Nome;Publicado;Descrição;Descrição curta;Em estoque?;Estoque;Quantidade baixa de estoque;São permitidas encomendas?;Vendido individualmente?;Peso (g);Comprimento (cm);Largura (cm);Altura (cm);Permitir avaliações de clientes?;Preço;Categorias;Imagens;Produto ascendente;Nome do atributo 1;Valores do atributo 1;Visibilidade do atributo 1;Atributo global 1;Nome do atributo 2;Valores do atributo 2;Visibilidade do atributo 2;Atributo global 2;Tags
variable;10249;Blazer Jess;-1;Blszer Jess é um clássico com um toque extra de estilo. Com fechamento frontal por botão e bolsos decorativos. Possui ombreiras e forro. Invista!;<ul><li>MANGA LONGA </li><li>ENTRETELA GROSSA</li><li>FECHAMENTO FRONTAL POR BOTÃO </li><li>BOLSOS FRONTAIS FALSOS</li><li>OMBREIRAS </li><li>DECOTE V COM GOLA </li><li>FORRO</li></ul>;1;;;0;0;631;32;21;12;0;;BLAZER > BLAZER MANGA LONGA ;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blazer-Jess-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blazer-Jess-Preto_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blazer-Jess-Pink_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blazer-Jess-Pink_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blazer-Jess-Pink_03_I22_1000x1503.jpg;;Cor;PRETO, PINK;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10236;Blusa Rafa;-1;Blusa Rafa é perfeita para dar aquele up em qualquer visual! Com um toque moderno, possui barbatanas estruturando a peça, criando um visual de corselet com babados na barra.;<ul><li>TOMARA QUE CAIA </li><li>BABADO </li><li>ZIPER DESTACAVEL NAS COSTAS</li><li>BARBATANAS</li></ul>;1;;;0;0;362;32;21;12;0;;BLUSA > TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blusa-Rafa-Bege_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blusa-Rafa-Bege_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blusa-Rafa-Bege_03_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blusa-Rafa-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Blusa-Rafa-Preto_02_I22_1000x1503.jpg;;Cor;BEGE, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10241;Camisa Lis;-1;Camisa Lis possui um tecido leve e confortável, é uma peça muito prática que a gente ama. A modelagem é chemise com comprimento midi e caimento reto. Transita entre muitos estilos com elegância e versatilidade.;<ul><li>COMPRIMENTO MIDI</li><li>MANGA 3/4</li><li>GOLA CAMISARIA</li>-FENDAS LATERAL</li>-FECHAMENTO COM BOTOES</li></ul>;1;;;0;0;401;32;21;12;0;;CAMISA > CAMISA MANGA LONGA ;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Camisa-Lis-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Camisa-Lis-Preto_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Camisa-Lis-Preto_03_I22_1000x1503.jpg;;Cor;PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10243;Casaco Gabi;-1;Casaco Gabi é a tendência nova que você tem que ter no guarda-roupa. Possui  manga longa e comprimento cropped, ideal para um visual moderno e estiloso.  ;<ul><li>COMPRIMENTO CROPPED </li><li>ENTRETELA GROSSA</li><li>MANGA LONGA </li><li>DECOTE V</li>-BOLSOS FRONTAIS FALSOS </li><li>BARRA CRUZADA COM FECHAMENTO TRAZEIRO DE BOTOES</li></ul>;1;;;0;0;625;32;21;12;0;;CASACO > CASACO MANGA LONGA ;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Casaco-Gabi-Off_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Casaco-Gabi-Off_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Casaco-Gabi-Off_03_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Casaco-Gabi-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Casaco-Gabi-AzulCapri_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Casaco-Gabi-AzulCapri_02_I22_1000x1503.jpg;;Cor;OFF, PRETO, AZUL CAPRI;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10234;Jaqueta Thassia;-1;Jaqueta Thassia traz a tendencia do comprimento cropped e efeito metalico brilhoso, perfeita para deixar qualquer look super estiloso.;<ul><li>MANGA LONGA </li><li>COMPRIMENTO CROPPED</li><li>BOLSOS FRONTAIS </li><li>FECHAMENTO COM BOTOES E FIVELA </li><li>EFEITO METALICO BRILHOSO</li></ul>;1;;;0;0;658;32;21;12;0;;JAQUETA > JAQUETA MANGA LONGA ;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Jaqueta-Thassia-Prata_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Jaqueta-Thassia-Prata_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Jaqueta-Thassia-Prata_03_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Jaqueta-Thassia-Prata_04_I22_1000x1503.jpg;;Cor;PRATA;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10247;Top Jessika;-1;O top Jessika  paetê  é perfeita para você brilhar no próximo evento. Possui alças largas com elastico que proporcionam mais conforto ao vestir e decote V que valoriza o busto e traz mais sofisticação para a peça. ;<ul><li>ALÇA LARGA COM ELASTICO</li><li>DECOTE V </li><li>TODO EM PAETÊ</li></li></ul>;1;;;0;0;253;32;21;12;0;;TOP > TOP ALÇA FINA ;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Jessika-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Jessika-Preto_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Jessika-Preto_03_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Jessika-Preto_04_I22_1000x1503.jpg;;Cor;PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10240;Saia Gabi;-1;A saia de comprimento curto sempre abre novas possibilidades para os seus looks.Para o inverno o modelo fica super bem com camisas de manga longa, botas, camadas ou meias estilosas.;<ul><li>CURTA </li>-FECHAMENTO TRAZEIRO COM ZIPER METAL</li><li>ENTRETELA GROSSA</li><li>ASSIMETRICA </li><li>FORRO</li></ul>;1;;;0;0;426;32;21;12;0;;SAIA > SAIA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Gabi-Off_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Gabi-Off_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Gabi-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Gabi-Preto_02_I22_1000x1503.jpg;;Cor;OFF, PRETO;1;1;Tamanho;34,36,38,40,42,44;1;1;Coleção Inverno 2022
variable;10237;Saia Rafa;-1;Saia Rafa possui modelagem ajustada e babado na barra, um estilo básico versatil que você tem que ter no guarda-roupa.;<ul><li>CURTA </li><li>BABADOS NA BARRA</li><li>ZIPER INVISIVEL LATERAL</li><li>COS ALTO</li></ul>;1;;;0;0;415;32;21;12;0;;SAIA > SAIA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Rafa-Bege_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Rafa-Bege_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Rafa-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Saia-Rafa-Preto_02_I22_1000x1503.jpg;;Cor;BEGE, PRETO;1;1;Tamanho;34,36,38,40,42,45;1;1;Coleção Inverno 2022
variable;10248;Top Rafa;-1;Top Rafa possui um shape triangular com alças largas. O destaque fica por conta do acabamento em fivela, adicionando delicadeza e sofisticação ao modelo.;<ul><li>ALÇAS LARGAS</li><li>DECOTE V </li>-ARGOLA FRONTAL</li><li>ZIPER DESTACAVEL NAS COSTAS </li><li>COURO PERFECTO </li></li></ul>;1;;;0;0;409;32;21;12;0;;BLUSA > TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Rafa-Bege_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Rafa-Bege_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Rafa-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Rafa-Preto_02_I22_1000x1503.jpg;;Cor;BEGE, PRETO;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10233;Top Thassia;-1;Blusa Thassia possui  efeito metalico brilhoso e argolas nas laterais. Ideal para quem gosta de elevar o glamour em qualquer look. ;<ul><li>CURTA </li><li>FECHAMENTO TRAZEIRO COM ZIPER METAL</li><li>ARGOLAS NAS LATERAIS </li><li>EFEITO METALICO BRILHOSO</li></ul>;1;;;0;0;377;32;21;12;0;;BLUSA > TOP;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Thassia-Prata_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Thassia-Prata_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Thassia-Prata_03_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Top-Thassia-Prata_04_I22_1000x1503.jpg;;Cor;PRATA;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022
variable;10246;Tshirt Bolso;-1;A Tshirt é uma peça coringa que não pode ficar de fora do seu guarda-roupa! A modelagem é ampla com caimento soltinho, comprimento curto e possui um bolso aplicado na parte frontal.  O modelo versátil encaixa-se facilmente em diversos estilos.Invista!;<ul><li>GOLA REDONDA</li><li>MODELO CROPPED</li>-MANGA CURTA</li><li>BOLSO FRONTAL </li><li>COMFY</li></ul>;1;;;0;0;263;32;21;12;0;;BLUSA >BLUSA MANGA CURTA ;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Bolso-Preto_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Bolso-Off_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Bolso-AzulCapri_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Bolso-AzulCapri_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Bolso-Rosa_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Bolso-Rosa_02_I22_1000x1503.jpg;;Cor;PRETO, OFF, AZUL CAPRI, ROSA;1;1;Tamanho;PP,P,M,G;1;1;Coleção Inverno 2022
variable;10250;Tshirt Thassia;-1;T shirt Thassia possui uma modelagem solta com um tecido levemente brilhoso. Peça que traz ao look muito estilo e personalidade, sem deixar o conforto de lado.;<ul><li>MODELAGEM CROPPED</li><li>MANGA CURTA</li><li>DECOTE V</li></ul>;1;;;0;0;259;32;21;12;0;;BLUSA > BLUSA MANGA CURTA;https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Thassia-Prata_01_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Thassia-Prata_02_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Thassia-Prata_03_I22_1000x1503.jpg, https://paolagiacomelli.com.br/wp-content/uploads/2022/06/Tshirt-Thassia-Prata_04_I22_1000x1503.jpg;;Cor;PRATA;1;1;Tamanho;PP,P,M,G,GG;1;1;Coleção Inverno 2022